instance obj_greddy time_greedy obj_lnsa time_lnsa
instances/train/Correia_Random_2_2_3_3.txt 12430 0 12210 2
instances/train/Correia_Random_1_1_9_9.txt 5530 0 5200 1
instances/train/Correia_Random_2_3_6_9.txt 15080 0 15020 1
instances/train/Correia_Random_1_1_8_3.txt 5230 0 5010 0
instances/train/Correia_Random_1_2_5_9.txt 6240 0 6090 1
instances/train/Correia_Random_1_2_8_9.txt 6420 0 6180 1
instances/train/Correia_Random_1_3_2_1.txt 7600 0 7560 0
instances/train/Correia_Random_1_3_6_5.txt 7480 0 7350 0
instances/train/Correia_Random_1_1_2_2.txt 5800 0 5620 0
instances/train/Correia_Random_2_3_3_1.txt 15200 0 15170 1
instances/train/Correia_Random_2_1_5_3.txt 9750 0 9390 3
instances/train/Correia_Random_2_2_6_6.txt 12640 0 12470 4
instances/train/Correia_Random_2_3_9_4.txt 15600 0 15250 2
instances/train/Correia_Random_1_3_5_9.txt 7550 0 7550 0
instances/train/Correia_Random_1_2_3_7.txt 6160 0 6080 0
instances/train/Correia_Random_2_3_4_9.txt 15030 0 15000 1
instances/train/Correia_Random_2_3_5_7.txt 15350 0 15350 1
instances/train/Correia_Random_1_3_6_4.txt 7900 0 7900 0
instances/train/Correia_Random_1_1_10_9.txt 6740 0 5860 1
instances/train/Correia_Random_1_1_9_1.txt 5960 0 5480 1
instances/train/Correia_Random_1_2_11_9.txt 8520 0 8470 0
instances/train/Correia_Random_1_3_0_2.txt 7750 0 7750 0
instances/train/Correia_Random_1_1_10_6.txt 6300 0 5720 0
instances/train/Correia_Random_1_2_7_9.txt 6420 0 6130 0
instances/train/Correia_Random_2_1_5_5.txt 10130 0 9830 3
instances/train/Correia_Random_1_3_5_8.txt 7670 0 7590 0
instances/train/Correia_Random_2_1_10_5.txt 11240 0 10680 4
instances/train/Correia_Random_1_3_0_4.txt 7800 0 7800 0
instances/train/Correia_Random_2_2_7_2.txt 12050 0 11790 5
instances/train/Correia_Random_1_3_5_5.txt 7380 0 7350 0
instances/train/Correia_Random_2_2_1_6.txt 12510 0 12420 3
instances/train/Correia_Random_1_3_3_2.txt 7750 0 7750 0
instances/train/Correia_Random_2_2_10_4.txt 13320 0 12820 4
instances/train/Correia_Random_1_3_7_3.txt 7950 0 7850 0
instances/train/Correia_Random_1_2_5_10.txt 5400 0 5310 1
instances/train/Correia_Random_2_3_3_3.txt 15020 0 15000 1
instances/train/Correia_Random_1_2_7_8.txt 5820 0 5680 0
instances/train/Correia_Random_2_3_6_2.txt 15450 0 15290 1
instances/train/Correia_Random_2_3_11_4.txt 17520 0 17250 3
instances/train/Correia_Random_2_2_11_9.txt 16070 0 15100 4
instances/train/Correia_Random_1_2_3_9.txt 6250 0 6070 0
instances/train/Correia_Random_1_2_6_8.txt 5760 0 5650 0
instances/train/Correia_Random_2_1_5_1.txt 9840 0 9590 2
instances/train/Correia_Random_2_1_6_2.txt 10300 0 9960 5
instances/train/Correia_Random_1_1_2_7.txt 5080 0 4920 0
instances/train/Correia_Random_2_3_10_2.txt 16270 0 15770 2
instances/train/Correia_Random_2_2_11_4.txt 15880 0 15200 4
instances/train/Correia_Random_2_3_0_4.txt 15090 0 15060 1
instances/train/Correia_Random_2_2_11_10.txt 15080 0 14540 3
