instance obj_greddy time_greedy obj_lnsa time_lnsa
instances/train/Correia_Random_2_2_3_3.txt 12330 0 12210 10
instances/train/Correia_Random_1_1_9_9.txt 5610 0 5220 2
instances/train/Correia_Random_2_3_6_9.txt 15080 0 15020 3
instances/train/Correia_Random_1_1_8_3.txt 5190 0 5040 1
instances/train/Correia_Random_1_2_5_9.txt 6240 0 6100 1
instances/train/Correia_Random_1_2_8_9.txt 6420 0 6190 3
instances/train/Correia_Random_1_3_2_1.txt 7600 0 7560 0
instances/train/Correia_Random_1_3_6_5.txt 7480 0 7350 1
instances/train/Correia_Random_1_1_2_2.txt 5800 0 5620 1
instances/train/Correia_Random_2_3_3_1.txt 15200 0 15170 3
instances/train/Correia_Random_2_1_5_3.txt 9700 0 9390 10
instances/train/Correia_Random_2_2_6_6.txt 12640 0 12480 8
instances/train/Correia_Random_2_3_9_4.txt 15600 0 15250 3
instances/train/Correia_Random_1_3_5_9.txt 7550 0 7550 0
instances/train/Correia_Random_1_2_3_7.txt 6160 0 6080 1
instances/train/Correia_Random_2_3_4_9.txt 15030 0 15000 3
instances/train/Correia_Random_2_3_5_7.txt 15350 0 15350 3
instances/train/Correia_Random_1_3_6_4.txt 7900 0 7900 1
instances/train/Correia_Random_1_1_10_9.txt 6860 0 5890 2
instances/train/Correia_Random_1_1_9_1.txt 5920 0 5480 1
instances/train/Correia_Random_1_2_11_9.txt 8520 0 8470 1
instances/train/Correia_Random_1_3_0_2.txt 7750 0 7750 0
instances/train/Correia_Random_1_1_10_6.txt 6330 0 5700 1
instances/train/Correia_Random_1_2_7_9.txt 6420 0 6130 3
instances/train/Correia_Random_2_1_5_5.txt 10130 0 9830 14
instances/train/Correia_Random_1_3_5_8.txt 7670 0 7590 0
instances/train/Correia_Random_2_1_10_5.txt 11470 0 10730 5
instances/train/Correia_Random_1_3_0_4.txt 7800 0 7800 1
instances/train/Correia_Random_2_2_7_2.txt 12050 0 11810 9
instances/train/Correia_Random_1_3_5_5.txt 7380 0 7350 1
instances/train/Correia_Random_2_2_1_6.txt 12610 0 12430 7
instances/train/Correia_Random_1_3_3_2.txt 7750 0 7750 0
instances/train/Correia_Random_2_2_10_4.txt 13320 0 12830 8
instances/train/Correia_Random_1_3_7_3.txt 7950 0 7850 0
instances/train/Correia_Random_1_2_5_10.txt 5400 0 5320 1
instances/train/Correia_Random_2_3_3_3.txt 15020 0 15000 2
instances/train/Correia_Random_1_2_7_8.txt 5820 0 5680 2
instances/train/Correia_Random_2_3_6_2.txt 15450 0 15290 3
instances/train/Correia_Random_2_3_11_4.txt 17520 0 17250 5
instances/train/Correia_Random_2_2_11_9.txt 16070 0 15120 10
instances/train/Correia_Random_1_2_3_9.txt 6250 0 6080 1
