instance time_smart smart
instances/train/Correia_Random_1_3_6_4.txt 0 7900
instances/train/Correia_Random_1_1_10_9.txt 0 6740
instances/train/Correia_Random_1_1_9_1.txt 0 5960
instances/train/Correia_Random_1_2_11_9.txt 0 8550
instances/train/Correia_Random_1_3_0_2.txt 0 7750
instances/train/Correia_Random_1_1_10_6.txt 1 6300
instances/train/Correia_Random_1_2_7_9.txt 1 6420
instances/train/Correia_Random_2_1_5_5.txt 4 10130
instances/train/Correia_Random_1_3_5_8.txt 0 7670
instances/train/Correia_Random_2_1_10_5.txt 4 11240
instances/train/Correia_Random_1_3_0_4.txt 0 7800
instances/train/Correia_Random_2_2_7_2.txt 6 12050
instances/train/Correia_Random_1_3_5_5.txt 0 7380
instances/train/Correia_Random_2_2_1_6.txt 4 12610
instances/train/Correia_Random_1_3_3_2.txt 0 7750
instances/train/Correia_Random_2_2_10_4.txt 5 13320
instances/train/Correia_Random_1_3_7_3.txt 0 7950
instances/train/Correia_Random_1_2_5_10.txt 0 5540
instances/train/Correia_Random_2_3_3_3.txt 1 15020
instances/train/Correia_Random_1_2_7_8.txt 0 5820
instances/train/Correia_Random_2_3_6_2.txt 2 15450
instances/train/Correia_Random_2_3_11_4.txt 3 17520
instances/train/Correia_Random_2_2_11_9.txt 5 16070
instances/train/Correia_Random_1_2_3_9.txt 0 6200
instances/train/Correia_Random_1_2_6_8.txt 0 5760
instances/train/Correia_Random_2_1_5_1.txt 4 9840
instances/train/Correia_Random_2_1_6_2.txt 3 10300
instances/train/Correia_Random_1_1_2_7.txt 0 5080
instances/train/Correia_Random_2_3_10_2.txt 3 16270
instances/train/Correia_Random_2_2_11_4.txt 5 15880
instances/train/Correia_Random_2_3_0_4.txt 1 15090
instances/train/Correia_Random_2_2_11_10.txt 5 15080
instances/train/Correia_Random_1_1_0_6.txt 0 5020
instances/train/Correia_Random_2_3_5_3.txt 1 15100
instances/train/Correia_Random_2_1_10_6.txt 7 11620
instances/train/Correia_Random_2_1_4_2.txt 3 10220
instances/train/Correia_Random_2_2_6_3.txt 5 12450
instances/train/Correia_Random_1_2_7_3.txt 1 6600
instances/train/Correia_Random_2_1_10_3.txt 6 11300
instances/train/Correia_Random_2_2_11_1.txt 5 16350
instances/train/Correia_Random_2_1_9_7.txt 4 11010
instances/train/Correia_Random_2_3_8_7.txt 1 15500
instances/train/Correia_Random_1_1_3_2.txt 0 5870
